[ 2022-05-05 11:25:03,305 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 11:25:04,317 ] News query failed: "Unrecognized event news."
[ 2022-05-05 11:26:17,505 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 11:26:17,586 ] Disconnected from gameserver
[ 2022-05-05 11:26:17,922 ] News query failed: "Unrecognized event news."
[ 2022-05-05 12:15:02,354 ] Asset loading complete
[ 2022-05-05 12:15:09,274 ] News query failed: "Unrecognized event news."
[ 2022-05-05 12:15:10,409 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 12:15:10,409 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 12:15:10,409 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 12:15:10,483 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 12:15:10,521 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 12:15:10,531 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 12:15:11,511 ] News query failed: "Unrecognized event news."
[ 2022-05-05 12:15:50,315 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 12:15:50,390 ] Disconnected from gameserver
[ 2022-05-05 13:28:09,368 ] Asset loading complete
[ 2022-05-05 13:28:15,258 ] News query failed: "Unrecognized event news."
[ 2022-05-05 13:28:16,155 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 13:28:16,155 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 13:28:16,155 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 13:28:16,229 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 13:28:16,253 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:28:16,264 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:28:17,260 ] News query failed: "Unrecognized event news."
[ 2022-05-05 13:29:42,662 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 13:29:42,742 ] Disconnected from gameserver
[ 2022-05-05 13:33:33,654 ] Asset loading complete
[ 2022-05-05 13:33:39,380 ] News query failed: "Unrecognized event news."
[ 2022-05-05 13:33:40,452 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 13:33:40,452 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 13:33:40,453 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 13:33:40,530 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 13:33:40,560 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:33:40,571 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:33:41,566 ] News query failed: "Unrecognized event news."
[ 2022-05-05 13:41:30,984 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 13:41:31,060 ] Disconnected from gameserver
[ 2022-05-05 13:41:31,434 ] News query failed: "Unrecognized event news."
[ 2022-05-05 13:41:32,444 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-05 13:41:32,450 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:41:32,462 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:41:33,386 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:43:03,124 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 13:43:03,199 ] Disconnected from gameserver
[ 2022-05-05 13:43:03,260 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:43:04,263 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 13:43:04,276 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:43:04,293 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:43:05,227 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:43:43,683 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 13:43:43,758 ] Disconnected from gameserver
[ 2022-05-05 13:43:43,813 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:43:44,898 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-05 13:43:44,917 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:43:44,928 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:43:45,851 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:55:55,427 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 13:55:55,502 ] Disconnected from gameserver
[ 2022-05-05 13:55:55,561 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 13:55:56,635 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 13:55:56,644 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:55:56,656 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 13:55:57,597 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 14:10:24,260 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 14:10:24,333 ] Disconnected from gameserver
[ 2022-05-05 22:08:20,210 ] Asset loading complete
[ 2022-05-05 22:08:26,476 ] News query failed: "Unrecognized event news."
[ 2022-05-05 22:08:32,476 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 22:08:32,476 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 22:08:32,476 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 22:08:32,749 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 22:08:32,799 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 22:08:32,810 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 22:08:34,550 ] News query failed: "Unrecognized event news."
[ 2022-05-05 22:10:42,262 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 22:10:42,327 ] Disconnected from gameserver
[ 2022-05-05 22:10:42,712 ] News query failed: "Unrecognized event news."
[ 2022-05-05 22:10:43,724 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-05 22:10:43,730 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
